VOTOS,PORCENTAJE,CARGO_POSTULADO,ESTADO,MUNICIPIO,PARROQUIA,CENTRO,CENTRO_NOMBRE,MESA,ADJUDICADO,PRIMER_NOMBRE,PRIMER_APELLIDO,PORCENTAJE_ABSTENCIÓN,PORCENTAJE_ACTAS,PORCENTAJE_ACTAS_ESCRUTADAS,PORCENTAJE_ACTAS_VÁLIDAS,PORCENTAJE_ELECTORES_ACTAS_TX,PORCENTAJE_ELECTORES_INSCRITOS,PORCENTAJE_VOTANTES_ESCRUTADOS,PORCENTAJE_VOTOS_ESCRUTADOS,PORCENTAJE_VOTOS_NULOS,PORCENTAJE_VOTOS_VÁLIDOS,VOTOS_ABSTENCIÓN,VOTOS_ACTAS,VOTOS_ACTAS_ESCRUTADAS,VOTOS_ACTAS_VÁLIDAS,VOTOS_ELECTORES_ACTAS_TX,VOTOS_ELECTORES_INSCRITOS,VOTOS_VOTANTES_ESCRUTADOS,VOTOS_ESCRUTADOS,VOTOS_NULOS,VOTOS_VÁLIDOS
41,14.54%,ALCALDE,16,10,1,161001016,CENTRO EDUCACION INICIAL BOLIVARIANO COLINAS DE SANTA CLARA,1,NO,MARTIN,PIERUZZINI,47.97%,100%,100%,100%,100%,100%,52.03%,100%,0%,100%,260,1,1,1,542,542,282,282,0,282
10,3.55%,ALCALDE,16,10,1,161001016,CENTRO EDUCACION INICIAL BOLIVARIANO COLINAS DE SANTA CLARA,1,NO,ALFREDO,COLMENAREZ,47.97%,100%,100%,100%,100%,100%,52.03%,100%,0%,100%,260,1,1,1,542,542,282,282,0,282
6,2.13%,ALCALDE,16,10,1,161001016,CENTRO EDUCACION INICIAL BOLIVARIANO COLINAS DE SANTA CLARA,1,NO,ARTIGAS,JULIA,47.97%,100%,100%,100%,100%,100%,52.03%,100%,0%,100%,260,1,1,1,542,542,282,282,0,282
0,0.00%,ALCALDE,16,10,1,161001016,CENTRO EDUCACION INICIAL BOLIVARIANO COLINAS DE SANTA CLARA,1,NO,WILLIAN,CALDERA,47.97%,100%,100%,100%,100%,100%,52.03%,100%,0%,100%,260,1,1,1,542,542,282,282,0,282
0,0.00%,ALCALDE,16,10,1,161001016,CENTRO EDUCACION INICIAL BOLIVARIANO COLINAS DE SANTA CLARA,1,NO,SAMUEL,VIRGUEZ,47.97%,100%,100%,100%,100%,100%,52.03%,100%,0%,100%,260,1,1,1,542,542,282,282,0,282
120,41.52%,GOBERNADOR,16,10,1,161001019,CENTRO EDUCACION INICIAL LOS RETOÑITOS,1,SI,PRIMITIVO,CEDEÑO,38.51%,100%,100%,100%,100%,100%,61.49%,100%,0%,100%,181,1,1,1,470,470,289,289,0,289
108,37.37%,GOBERNADOR,16,10,1,161001019,CENTRO EDUCACION INICIAL LOS RETOÑITOS,1,NO,ANTONIA,MUÑOZ,38.51%,100%,100%,100%,100%,100%,61.49%,100%,0%,100%,181,1,1,1,470,470,289,289,0,289
46,15.92%,GOBERNADOR,16,10,1,161001019,CENTRO EDUCACION INICIAL LOS RETOÑITOS,1,NO,MARIA,MARTINEZ,38.51%,100%,100%,100%,100%,100%,61.49%,100%,0%,100%,181,1,1,1,470,470,289,289,0,289
8,2.77%,GOBERNADOR,16,10,1,161001019,CENTRO EDUCACION INICIAL LOS RETOÑITOS,1,NO,GONZALEZ,ORNOBIS,38.51%,100%,100%,100%,100%,100%,61.49%,100%,0%,100%,181,1,1,1,470,470,289,289,0,289
7,2.42%,GOBERNADOR,16,10,1,161001019,CENTRO EDUCACION INICIAL LOS RETOÑITOS,1,NO,JOSE,RUIZ,38.51%,100%,100%,100%,100%,100%,61.49%,100%,0%,100%,181,1,1,1,470,470,289,289,0,289
0,0.00%,GOBERNADOR,16,10,1,161001019,CENTRO EDUCACION INICIAL LOS RETOÑITOS,1,NO,HERMES,CORTEZ,38.51%,100%,100%,100%,100%,100%,61.49%,100%,0%,100%,181,1,1,1,470,470,289,289,0,289
0,0.00%,GOBERNADOR,16,10,1,161001019,CENTRO EDUCACION INICIAL LOS RETOÑITOS,1,NO,YMARA,GARCIA,38.51%,100%,100%,100%,100%,100%,61.49%,100%,0%,100%,181,1,1,1,470,470,289,289,0,289
0,0.00%,GOBERNADOR,16,10,1,161001019,CENTRO EDUCACION INICIAL LOS RETOÑITOS,1,NO,SIMON,BRICEÑO,38.51%,100%,100%,100%,100%,100%,61.49%,100%,0%,100%,181,1,1,1,470,470,289,289,0,289
122,42.36%,ALCALDE,16,10,1,161001019,CENTRO EDUCACION INICIAL LOS RETOÑITOS,1,SI,HEIZEL,CEBALLOS,38.51%,100%,100%,100%,100%,100%,61.49%,100%,0.35%,99.65%,181,1,1,1,470,470,289,289,1,288
102,35.42%,ALCALDE,16,10,1,161001019,CENTRO EDUCACION INICIAL LOS RETOÑITOS,1,NO,PEREZ,EXGLIMAR,38.51%,100%,100%,100%,100%,100%,61.49%,100%,0.35%,99.65%,181,1,1,1,470,470,289,289,1,288
44,15.28%,ALCALDE,16,10,1,161001019,CENTRO EDUCACION INICIAL LOS RETOÑITOS,1,NO,MARTIN,PIERUZZINI,38.51%,100%,100%,100%,100%,100%,61.49%,100%,0.35%,99.65%,181,1,1,1,470,470,289,289,1,288
12,4.17%,ALCALDE,16,10,1,161001019,CENTRO EDUCACION INICIAL LOS RETOÑITOS,1,NO,ALFREDO,COLMENAREZ,38.51%,100%,100%,100%,100%,100%,61.49%,100%,0.35%,99.65%,181,1,1,1,470,470,289,289,1,288
8,2.78%,ALCALDE,16,10,1,161001019,CENTRO EDUCACION INICIAL LOS RETOÑITOS,1,NO,ARTIGAS,JULIA,38.51%,100%,100%,100%,100%,100%,61.49%,100%,0.35%,99.65%,181,1,1,1,470,470,289,289,1,288
0,0.00%,ALCALDE,16,10,1,161001019,CENTRO EDUCACION INICIAL LOS RETOÑITOS,1,NO,WILLIAN,CALDERA,38.51%,100%,100%,100%,100%,100%,61.49%,100%,0.35%,99.65%,181,1,1,1,470,470,289,289,1,288
0,0.00%,ALCALDE,16,10,1,161001019,CENTRO EDUCACION INICIAL LOS RETOÑITOS,1,NO,SAMUEL,VIRGUEZ,38.51%,100%,100%,100%,100%,100%,61.49%,100%,0.35%,99.65%,181,1,1,1,470,470,289,289,1,288
146,54.89%,GOBERNADOR,16,10,1,161001020,CENTRO EDUCACION INICIAL PARAISO INFANTIL,1,SI,PRIMITIVO,CEDEÑO,37.04%,100%,100%,100%,100%,100%,62.96%,100%,2.21%,97.79%,160,1,1,1,432,432,272,272,6,266
91,34.21%,GOBERNADOR,16,10,1,161001020,CENTRO EDUCACION INICIAL PARAISO INFANTIL,1,NO,ANTONIA,MUÑOZ,37.04%,100%,100%,100%,100%,100%,62.96%,100%,2.21%,97.79%,160,1,1,1,432,432,272,272,6,266
18,6.77%,GOBERNADOR,16,10,1,161001020,CENTRO EDUCACION INICIAL PARAISO INFANTIL,1,NO,MARIA,MARTINEZ,37.04%,100%,100%,100%,100%,100%,62.96%,100%,2.21%,97.79%,160,1,1,1,432,432,272,272,6,266
5,1.88%,GOBERNADOR,16,10,1,161001020,CENTRO EDUCACION INICIAL PARAISO INFANTIL,1,NO,GONZALEZ,ORNOBIS,37.04%,100%,100%,100%,100%,100%,62.96%,100%,2.21%,97.79%,160,1,1,1,432,432,272,272,6,266
4,1.50%,GOBERNADOR,16,10,1,161001020,CENTRO EDUCACION INICIAL PARAISO INFANTIL,1,NO,JOSE,RUIZ,37.04%,100%,100%,100%,100%,100%,62.96%,100%,2.21%,97.79%,160,1,1,1,432,432,272,272,6,266
2,0.75%,GOBERNADOR,16,10,1,161001020,CENTRO EDUCACION INICIAL PARAISO INFANTIL,1,NO,HERMES,CORTEZ,37.04%,100%,100%,100%,100%,100%,62.96%,100%,2.21%,97.79%,160,1,1,1,432,432,272,272,6,266
0,0.00%,GOBERNADOR,16,10,1,161001020,CENTRO EDUCACION INICIAL PARAISO INFANTIL,1,NO,YMARA,GARCIA,37.04%,100%,100%,100%,100%,100%,62.96%,100%,2.21%,97.79%,160,1,1,1,432,432,272,272,6,266
0,0.00%,GOBERNADOR,16,10,1,161001020,CENTRO EDUCACION INICIAL PARAISO INFANTIL,1,NO,SIMON,BRICEÑO,37.04%,100%,100%,100%,100%,100%,62.96%,100%,2.21%,97.79%,160,1,1,1,432,432,272,272,6,266
148,54.61%,ALCALDE,16,10,1,161001020,CENTRO EDUCACION INICIAL PARAISO INFANTIL,1,SI,HEIZEL,CEBALLOS,37.04%,100%,100%,100%,100%,100%,62.96%,100%,0.37%,99.63%,160,1,1,1,432,432,272,272,1,271
92,33.95%,ALCALDE,16,10,1,161001020,CENTRO EDUCACION INICIAL PARAISO INFANTIL,1,NO,PEREZ,EXGLIMAR,37.04%,100%,100%,100%,100%,100%,62.96%,100%,0.37%,99.63%,160,1,1,1,432,432,272,272,1,271
20,7.38%,ALCALDE,16,10,1,161001020,CENTRO EDUCACION INICIAL PARAISO INFANTIL,1,NO,MARTIN,PIERUZZINI,37.04%,100%,100%,100%,100%,100%,62.96%,100%,0.37%,99.63%,160,1,1,1,432,432,272,272,1,271
6,2.21%,ALCALDE,16,10,1,161001020,CENTRO EDUCACION INICIAL PARAISO INFANTIL,1,NO,ARTIGAS,JULIA,37.04%,100%,100%,100%,100%,100%,62.96%,100%,0.37%,99.63%,160,1,1,1,432,432,272,272,1,271
3,1.11%,ALCALDE,16,10,1,161001020,CENTRO EDUCACION INICIAL PARAISO INFANTIL,1,NO,ALFREDO,COLMENAREZ,37.04%,100%,100%,100%,100%,100%,62.96%,100%,0.37%,99.63%,160,1,1,1,432,432,272,272,1,271
2,0.74%,ALCALDE,16,10,1,161001020,CENTRO EDUCACION INICIAL PARAISO INFANTIL,1,NO,WILLIAN,CALDERA,37.04%,100%,100%,100%,100%,100%,62.96%,100%,0.37%,99.63%,160,1,1,1,432,432,272,272,1,271
0,0.00%,ALCALDE,16,10,1,161001020,CENTRO EDUCACION INICIAL PARAISO INFANTIL,1,NO,SAMUEL,VIRGUEZ,37.04%,100%,100%,100%,100%,100%,62.96%,100%,0.37%,99.63%,160,1,1,1,432,432,272,272,1,271
130,37.79%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,1,SI,PRIMITIVO,CEDEÑO,54.8%,100%,100%,100%,100%,100%,45.2%,100%,0%,100%,417,1,1,1,761,761,344,344,0,344
102,29.65%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,1,NO,ANTONIA,MUÑOZ,54.8%,100%,100%,100%,100%,100%,45.2%,100%,0%,100%,417,1,1,1,761,761,344,344,0,344
78,22.67%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,1,NO,MARIA,MARTINEZ,54.8%,100%,100%,100%,100%,100%,45.2%,100%,0%,100%,417,1,1,1,761,761,344,344,0,344
16,4.65%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,1,NO,GONZALEZ,ORNOBIS,54.8%,100%,100%,100%,100%,100%,45.2%,100%,0%,100%,417,1,1,1,761,761,344,344,0,344
14,4.07%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,1,NO,JOSE,RUIZ,54.8%,100%,100%,100%,100%,100%,45.2%,100%,0%,100%,417,1,1,1,761,761,344,344,0,344
2,0.58%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,1,NO,HERMES,CORTEZ,54.8%,100%,100%,100%,100%,100%,45.2%,100%,0%,100%,417,1,1,1,761,761,344,344,0,344
2,0.58%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,1,NO,YMARA,GARCIA,54.8%,100%,100%,100%,100%,100%,45.2%,100%,0%,100%,417,1,1,1,761,761,344,344,0,344
0,0.00%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,1,NO,SIMON,BRICEÑO,54.8%,100%,100%,100%,100%,100%,45.2%,100%,0%,100%,417,1,1,1,761,761,344,344,0,344
129,37.83%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,1,SI,HEIZEL,CEBALLOS,54.8%,100%,100%,100%,100%,100%,45.2%,100%,0.87%,99.13%,417,1,1,1,761,761,344,344,3,341
108,31.67%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,1,NO,PEREZ,EXGLIMAR,54.8%,100%,100%,100%,100%,100%,45.2%,100%,0.87%,99.13%,417,1,1,1,761,761,344,344,3,341
81,23.75%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,1,NO,MARTIN,PIERUZZINI,54.8%,100%,100%,100%,100%,100%,45.2%,100%,0.87%,99.13%,417,1,1,1,761,761,344,344,3,341
16,4.69%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,1,NO,ARTIGAS,JULIA,54.8%,100%,100%,100%,100%,100%,45.2%,100%,0.87%,99.13%,417,1,1,1,761,761,344,344,3,341
5,1.47%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,1,NO,ALFREDO,COLMENAREZ,54.8%,100%,100%,100%,100%,100%,45.2%,100%,0.87%,99.13%,417,1,1,1,761,761,344,344,3,341
2,0.59%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,1,NO,WILLIAN,CALDERA,54.8%,100%,100%,100%,100%,100%,45.2%,100%,0.87%,99.13%,417,1,1,1,761,761,344,344,3,341
0,0.00%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,1,NO,SAMUEL,VIRGUEZ,54.8%,100%,100%,100%,100%,100%,45.2%,100%,0.87%,99.13%,417,1,1,1,761,761,344,344,3,341
141,42.34%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,2,SI,PRIMITIVO,CEDEÑO,51.38%,100%,100%,100%,100%,100%,48.62%,100%,0.3%,99.7%,353,1,1,1,687,687,334,334,1,333
95,28.53%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,2,NO,ANTONIA,MUÑOZ,51.38%,100%,100%,100%,100%,100%,48.62%,100%,0.3%,99.7%,353,1,1,1,687,687,334,334,1,333
76,22.82%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,2,NO,MARIA,MARTINEZ,51.38%,100%,100%,100%,100%,100%,48.62%,100%,0.3%,99.7%,353,1,1,1,687,687,334,334,1,333
13,3.90%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,2,NO,JOSE,RUIZ,51.38%,100%,100%,100%,100%,100%,48.62%,100%,0.3%,99.7%,353,1,1,1,687,687,334,334,1,333
6,1.80%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,2,NO,GONZALEZ,ORNOBIS,51.38%,100%,100%,100%,100%,100%,48.62%,100%,0.3%,99.7%,353,1,1,1,687,687,334,334,1,333
1,0.30%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,2,NO,YMARA,GARCIA,51.38%,100%,100%,100%,100%,100%,48.62%,100%,0.3%,99.7%,353,1,1,1,687,687,334,334,1,333
1,0.30%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,2,NO,SIMON,BRICEÑO,51.38%,100%,100%,100%,100%,100%,48.62%,100%,0.3%,99.7%,353,1,1,1,687,687,334,334,1,333
0,0.00%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,2,NO,HERMES,CORTEZ,51.38%,100%,100%,100%,100%,100%,48.62%,100%,0.3%,99.7%,353,1,1,1,687,687,334,334,1,333
138,41.69%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,2,SI,HEIZEL,CEBALLOS,51.38%,100%,100%,100%,100%,100%,48.62%,100%,0.9%,99.1%,353,1,1,1,687,687,334,334,3,331
103,31.12%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,2,NO,PEREZ,EXGLIMAR,51.38%,100%,100%,100%,100%,100%,48.62%,100%,0.9%,99.1%,353,1,1,1,687,687,334,334,3,331
72,21.75%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,2,NO,MARTIN,PIERUZZINI,51.38%,100%,100%,100%,100%,100%,48.62%,100%,0.9%,99.1%,353,1,1,1,687,687,334,334,3,331
9,2.72%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,2,NO,ALFREDO,COLMENAREZ,51.38%,100%,100%,100%,100%,100%,48.62%,100%,0.9%,99.1%,353,1,1,1,687,687,334,334,3,331
8,2.42%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,2,NO,ARTIGAS,JULIA,51.38%,100%,100%,100%,100%,100%,48.62%,100%,0.9%,99.1%,353,1,1,1,687,687,334,334,3,331
1,0.30%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,2,NO,SAMUEL,VIRGUEZ,51.38%,100%,100%,100%,100%,100%,48.62%,100%,0.9%,99.1%,353,1,1,1,687,687,334,334,3,331
0,0.00%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,2,NO,WILLIAN,CALDERA,51.38%,100%,100%,100%,100%,100%,48.62%,100%,0.9%,99.1%,353,1,1,1,687,687,334,334,3,331
132,38.94%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,3,SI,PRIMITIVO,CEDEÑO,50.58%,100%,100%,100%,100%,100%,49.42%,100%,0.59%,99.41%,349,1,1,1,690,690,341,341,2,339
99,29.20%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,3,NO,ANTONIA,MUÑOZ,50.58%,100%,100%,100%,100%,100%,49.42%,100%,0.59%,99.41%,349,1,1,1,690,690,341,341,2,339
77,22.71%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,3,NO,MARIA,MARTINEZ,50.58%,100%,100%,100%,100%,100%,49.42%,100%,0.59%,99.41%,349,1,1,1,690,690,341,341,2,339
20,5.90%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,3,NO,JOSE,RUIZ,50.58%,100%,100%,100%,100%,100%,49.42%,100%,0.59%,99.41%,349,1,1,1,690,690,341,341,2,339
10,2.95%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,3,NO,GONZALEZ,ORNOBIS,50.58%,100%,100%,100%,100%,100%,49.42%,100%,0.59%,99.41%,349,1,1,1,690,690,341,341,2,339
1,0.29%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,3,NO,HERMES,CORTEZ,50.58%,100%,100%,100%,100%,100%,49.42%,100%,0.59%,99.41%,349,1,1,1,690,690,341,341,2,339
0,0.00%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,3,NO,YMARA,GARCIA,50.58%,100%,100%,100%,100%,100%,49.42%,100%,0.59%,99.41%,349,1,1,1,690,690,341,341,2,339
0,0.00%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,3,NO,SIMON,BRICEÑO,50.58%,100%,100%,100%,100%,100%,49.42%,100%,0.59%,99.41%,349,1,1,1,690,690,341,341,2,339
130,38.35%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,3,SI,HEIZEL,CEBALLOS,50.58%,100%,100%,100%,100%,100%,49.42%,100%,0.59%,99.41%,349,1,1,1,690,690,341,341,2,339
114,33.63%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,3,NO,PEREZ,EXGLIMAR,50.58%,100%,100%,100%,100%,100%,49.42%,100%,0.59%,99.41%,349,1,1,1,690,690,341,341,2,339
75,22.12%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,3,NO,MARTIN,PIERUZZINI,50.58%,100%,100%,100%,100%,100%,49.42%,100%,0.59%,99.41%,349,1,1,1,690,690,341,341,2,339
13,3.83%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,3,NO,ARTIGAS,JULIA,50.58%,100%,100%,100%,100%,100%,49.42%,100%,0.59%,99.41%,349,1,1,1,690,690,341,341,2,339
6,1.77%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,3,NO,ALFREDO,COLMENAREZ,50.58%,100%,100%,100%,100%,100%,49.42%,100%,0.59%,99.41%,349,1,1,1,690,690,341,341,2,339
1,0.29%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,3,NO,WILLIAN,CALDERA,50.58%,100%,100%,100%,100%,100%,49.42%,100%,0.59%,99.41%,349,1,1,1,690,690,341,341,2,339
0,0.00%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,3,NO,SAMUEL,VIRGUEZ,50.58%,100%,100%,100%,100%,100%,49.42%,100%,0.59%,99.41%,349,1,1,1,690,690,341,341,2,339
141,39.28%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,4,SI,PRIMITIVO,CEDEÑO,50.82%,100%,100%,100%,100%,100%,49.18%,100%,0.55%,99.45%,373,1,1,1,734,734,361,361,2,359
99,27.58%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,4,NO,ANTONIA,MUÑOZ,50.82%,100%,100%,100%,100%,100%,49.18%,100%,0.55%,99.45%,373,1,1,1,734,734,361,361,2,359
87,24.23%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,4,NO,MARIA,MARTINEZ,50.82%,100%,100%,100%,100%,100%,49.18%,100%,0.55%,99.45%,373,1,1,1,734,734,361,361,2,359
17,4.74%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,4,NO,JOSE,RUIZ,50.82%,100%,100%,100%,100%,100%,49.18%,100%,0.55%,99.45%,373,1,1,1,734,734,361,361,2,359
14,3.90%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,4,NO,GONZALEZ,ORNOBIS,50.82%,100%,100%,100%,100%,100%,49.18%,100%,0.55%,99.45%,373,1,1,1,734,734,361,361,2,359
1,0.28%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,4,NO,HERMES,CORTEZ,50.82%,100%,100%,100%,100%,100%,49.18%,100%,0.55%,99.45%,373,1,1,1,734,734,361,361,2,359
0,0.00%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,4,NO,YMARA,GARCIA,50.82%,100%,100%,100%,100%,100%,49.18%,100%,0.55%,99.45%,373,1,1,1,734,734,361,361,2,359
0,0.00%,GOBERNADOR,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,4,NO,SIMON,BRICEÑO,50.82%,100%,100%,100%,100%,100%,49.18%,100%,0.55%,99.45%,373,1,1,1,734,734,361,361,2,359
141,39.39%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,4,SI,HEIZEL,CEBALLOS,50.82%,100%,100%,100%,100%,100%,49.18%,100%,0.83%,99.17%,373,1,1,1,734,734,361,361,3,358
105,29.33%,ALCALDE,16,10,1,161001001,ESCUELA BOLIVARIANA ATAPAIMA,4,NO,PEREZ,EXGLIMAR,50.82%,100%,100%,100%,100%,100%,49.18%,100%,0.83%,99.17%,373,1,1,1,734,734,361,361,3,358
